degree_name,male_%,male_wage,female_%,female_wage
General Agriculture,78.76,39174.39,21.24,31134.34
Agriculture Production And Management,78.76,43735.96,21.24,44783.75
Agricultural Economics,79.35,58839.73,20.65,68900.0
Animal Sciences,40.91,52704.17,59.09,40939.42
Food Science,50.98,67197.12,49.02,40683.0
Plant Science And Agronomy,72.9,45962.3,27.1,26619.72
Soil Science,77.78,38752.38,22.22,14583.33
Miscellaneous Agriculture,47.06,31691.67,52.94,26036.3
Environmental Science,56.85,56963.02,43.15,39903.32
Forestry,86.53,42122.16,13.47,28364.62
Natural Resources Management,70.59,59722.02,29.41,34352.86
Architecture,65.97,59784.69,34.03,31907.77
Area Ethnic And Civilization Studies,41.37,56482.35,58.63,32584.17
Communications,38.93,59204.81,61.07,36698.25
Journalism,41.84,54208.38,58.16,36617.91
Mass Media,44.09,46764.06,55.91,34341.21
Advertising And Public Relations,30.16,58127.98,69.84,40023.15
Communication Technologies,73.14,42295.8,26.86,29966.27
Computer And Information Systems,68.26,62085.95,31.74,44365.68
Computer Programming And Data Processing,64.14,42124.45,35.86,27303.85
Computer Science,71.39,74083.43,28.61,46746.78
Information Sciences,65.28,70500.43,34.72,46513.2
Computer Administration Management And Security,74.68,56743.16,25.32,38676.27
Computer Networking And Telecommunications,59.04,60845.31,40.96,37543.14
Cosmetology Services And Culinary Arts,61.06,46792.52,38.94,21722.22
General Education,23.83,29327.25,76.17,19104.95
Educational Administration And Supervision,43.08,25049.11,56.92,30646.08
School Student Counseling,25.27,32134.78,74.73,27722.06
Elementary Education,8.33,24809.31,91.67,21057.26
Mathematics Teacher Education,41.25,29149.55,58.75,23617.55
Physical And Health Education Teaching,53.03,32647.49,46.97,24334.81
Early Childhood Education,2.97,58454.55,97.03,24180.84
Science And Computer Teacher Education,46.57,21347.79,53.43,26315.42
Secondary Teacher Education,44.08,20322.76,55.92,17045.92
Special Needs Education,10.53,37006.22,89.47,28968.25
Social Science Or History Teacher Education,53.8,26918.83,46.2,20117.59
Teacher Education: Multiple Levels,19.33,26237.39,80.67,19941.25
Language And Drama Education,17.28,28557.36,82.72,19915.2
Art And Music Education,34.02,32281.53,65.98,19441.93
Miscellaneous Education,38.4,23207.37,61.6,15808.89
General Engineering,86.67,54180.33,13.33,36307.33
Aerospace Engineering,91.77,57707.31,8.23,62480.39
Biological Engineering,79.72,49716.8,20.28,44309.3
Architectural Engineering,80.0,66420.45,20.0,21572.73
Biomedical Engineering,62.67,89136.17,37.33,37342.86
Chemical Engineering,79.46,48056.58,20.54,40812.56
Civil Engineering,84.95,63121.49,15.05,41977.56
Computer Engineering,77.93,74655.28,22.07,49544.59
Electrical Engineering,90.78,58950.39,9.22,47241.91
Engineering Mechanics Physics And Science,89.36,54142.06,10.64,52000.0
Environmental Engineering,58.23,59415.22,41.77,39856.82
Geological And Geophysical Engineering,80.65,44940.0,19.35,55833.33
Industrial And Manufacturing Engineering,75.9,60058.38,24.1,47179.72
Materials Engineering And Materials Science,77.24,45677.89,22.76,45289.29
Mechanical Engineering,92.58,55798.39,7.42,55884.28
Metallurgical Engineering,97.1,40328.36,2.9,11100.0
Mining And Mineral Engineering,84.78,59825.64,15.22,25000.0
Naval Architecture And Marine Engineering,95.6,45779.74,4.4,52571.43
Nuclear Engineering,90.2,83684.78,9.8,37800.0
Petroleum Engineering,93.33,30869.05,6.67,20000.0
Miscellaneous Engineering,80.27,60214.18,19.73,36214.38
Engineering Technologies,75.74,60520.92,24.26,36734.69
Engineering And Industrial Management,89.08,32614.56,10.92,25859.38
Electrical Engineering Technology,88.98,50700.0,11.02,28219.25
Industrial Production Technologies,92.61,42947.37,7.39,24488.24
Mechanical Engineering Related Technologies,96.7,61396.59,3.3,142200.0
Miscellaneous Engineering Technologies,84.75,60245.5,15.25,33294.12
Linguistics And Comparative Language And Literatu,24.01,41050.41,75.99,24647.6
Intercultural And International Studies,41.34,60447.01,58.66,33121.08
Nutrition Sciences,16.7,67270.27,83.3,33481.98
Mathematics And Computer Science,58.62,57894.12,41.38,17366.67
Cognitive Science And Biopsychology,52.38,102636.36,47.62,35820.0
Interdisciplinary Social Sciences,32.59,38059.24,67.41,31845.42
Physical Fitness Parks Recreation And Leisure,52.25,51358.87,47.75,32765.32
Philosophy And Religious Studies,67.02,43311.63,32.98,27721.3
Theology And Religious Vocations,71.82,34905.19,28.18,19137.79
Physical Sciences,88.37,63957.89,11.63,42800.0
Astronomy And Astrophysics,65.22,42953.33,34.78,17987.5
Atmospheric Sciences And Meteorology,80.73,54434.09,19.27,35704.76
Chemistry,67.93,74586.32,32.07,44743.38
Geology And Earth Science,73.7,53172.45,26.3,37896.2
Geosciences,85.71,61277.78,14.29,5233.33
Oceanography,58.55,50480.79,41.45,47188.89
Physics,84.26,47539.74,15.74,52067.09
Materials Science,84.44,49347.37,15.56,76000.0
Multi-Disciplinary Or General Science,53.03,64253.35,46.97,37868.67
