,occupation_field,occupation_name,non-college count,wage/salary
0,MGR,General And Operations Managers,7656,67345.6
1,MGR,Advertising And Promotions Managers,140,62164.49
2,MGR,Marketing And Sales Managers,3632,64885.18
3,MGR,Public Relations And Fundraising Managers,94,62861.04
4,MGR,Administrative Services Managers,1396,55248.99
5,MGR,Computer And Information Systems Managers,1208,81102.14
6,MGR,Financial Managers,6034,55113.21
7,MGR,Compensation And Benefits Managers,59,60292.31
8,MGR,Human Resources Managers,2951,53076.3
9,MGR,Training And Development Managers,282,45146.87
10,MGR,Industrial Production Managers,2502,63434.34
11,MGR,Purchasing Managers,1076,60112.85
12,MGR,"Transportation, Storage, And Distribution Managers",3406,47287.81
13,MGR,"Farmers, Ranchers, And Other Agricultural Managers",15077,45717.74
14,MGR,Construction Managers,9164,67923.69
15,MGR,Education Administrators,2729,37525.88
16,MGR,Architectural And Engineering Managers,319,88364.15
17,MGR,Food Service Managers,13498,34397.39
18,MGR,Gaming Managers,279,44324.21
19,MGR,Lodging Managers,1454,41446.42
20,MGR,Medical And Health Services Managers,2810,48769.01
21,MGR,Natural Sciences Managers,19,45500.0
22,MGR,"Property, Real Estate, And Community Association",6305,44520.83
23,MGR,Social And Community Service Managers,1684,37055.71
24,MGR,Emergency Management Directors,36,53246.43
25,MGR,"Miscellaneous Managers, Including Funeral Service",31687,60986.12
26,BUS,"Agents And Business Managers Of Artists, Performers,",356,41710.04
27,BUS,"Buyers And Purchasing Agents, Farm Products",135,44388.73
28,BUS,"Wholesale And Retail Buyers, Except Farm Products",2905,31544.53
29,BUS,"Purchasing Agents, Except Wholesale, Retail, And Farm",2588,47271.96
30,BUS,"Claims Adjusters, Appraisers, Examiners, And",2283,47840.75
31,BUS,Compliance Officers,1232,49634.61
32,BUS,Cost Estimators,1515,58206.58
33,BUS,Human Resources Workers,4109,46986.51
34,BUS,"Compensation, Benefits, And Job Analysis Specialists",334,46497.34
35,BUS,Training And Development Specialists,885,42575.52
36,BUS,Logisticians,1064,45663.21
37,BUS,Management Analysts,2322,60972.22
38,BUS,"Meeting, Convention, And Event Planners",754,28917.57
39,BUS,Fundraisers,315,24724.1
40,BUS,Market Research Analysts And Marketing Specialists,775,41653.08
41,BUS,"Business Operations Specialists, All Other",1651,43766.52
42,FIN,Accountants And Auditors,4363,40260.47
43,FIN,Appraisers And Assessors Of Real Estate,557,42695.2
44,FIN,Budget Analysts,141,62646.15
45,FIN,Credit Analysts,133,45411.93
46,FIN,Financial Analysts,262,63780.97
47,FIN,Personal Financial Advisors,717,72046.01
48,FIN,Insurance Underwriters,752,53577.97
49,FIN,Financial Examiners,45,41068.29
50,FIN,Credit Counselors And Loan Officers,2020,53743.71
51,FIN,"Tax Examiners And Collectors, And Revenue Agents",576,38711.92
52,FIN,Tax Preparers,1084,18954.79
53,FIN,"Financial Specialists, All Other",353,45650.0
54,CMM,Computer And Information Research Scientists,25,47447.62
55,CMM,Computer Systems Analysts,1217,58520.55
56,CMM,Information Security Analysts,174,70827.04
57,CMM,Computer Programmers,1185,53771.07
58,CMM,"Software Developers, Applications And Systems Software",1475,72340.98
59,CMM,Web Developers,661,37309.1
