degree_name,number_of_people,wage/salary,non-degree jobs,looking,looking_%,NDJ_%
General Agriculture,10170,64601.69,454,163,1.6,4.46
Agriculture Production And Management,7770,68821.81,431,159,2.05,5.55
Agricultural Economics,3366,88461.45,114,49,1.46,3.39
Animal Sciences,10352,64785.17,349,214,2.07,3.37
Food Science,2514,77567.3,88,86,3.42,3.5
Plant Science And Agronomy,7181,62046.47,539,164,2.28,7.51
Soil Science,619,66965.32,22,21,3.39,3.55
Miscellaneous Agriculture,1141,57186.97,35,24,2.1,3.07
Environmental Science,10415,62388.09,524,463,4.45,5.03
Forestry,5825,68659.45,233,106,1.82,4.0
Natural Resources Management,7563,61719.36,324,220,2.91,4.28
Architecture,25191,75971.3,764,866,3.44,3.03
Area Ethnic And Civilization Studies,11647,71439.51,425,459,3.94,3.65
Communications,71548,65611.66,3438,3028,4.23,4.81
Journalism,30914,68326.65,1086,1159,3.75,3.51
Mass Media,15775,57184.65,792,857,5.43,5.02
Advertising And Public Relations,12462,63617.86,611,538,4.32,4.9
Communication Technologies,4458,53907.94,251,259,5.81,5.63
Computer And Information Systems,21118,77519.75,535,846,4.01,2.53
Computer Programming And Data Processing,1932,72583.18,83,76,3.93,4.3
Computer Science,64064,98371.56,1194,2179,3.4,1.86
Information Sciences,6528,84789.32,130,253,3.88,1.99
Computer Administration Management And Security,3682,68812.16,103,188,5.11,2.8
Computer Networking And Telecommunications,3438,71047.62,112,148,4.3,3.26
Cosmetology Services And Culinary Arts,2662,47621.82,413,107,4.02,15.51
General Education,143321,50835.47,3755,2162,1.51,2.62
Educational Administration And Supervision,3503,61936.66,58,50,1.43,1.66
School Student Counseling,1459,50928.94,22,19,1.3,1.51
Elementary Education,152272,43532.34,3176,1971,1.29,2.09
Mathematics Teacher Education,9033,51006.99,175,117,1.3,1.94
Physical And Health Education Teaching,27216,55743.57,910,520,1.91,3.34
Early Childhood Education,14845,39445.8,413,379,2.55,2.78
Science And Computer Teacher Education,7776,53578.44,178,125,1.61,2.29
Secondary Teacher Education,27051,51391.75,650,351,1.3,2.4
Special Needs Education,20638,49586.68,428,346,1.68,2.07
Social Science Or History Teacher Education,14015,53015.33,379,258,1.84,2.7
Teacher Education: Multiple Levels,9720,44434.25,220,147,1.51,2.26
Language And Drama Education,21864,47224.2,504,414,1.89,2.31
Art And Music Education,24348,45892.09,691,435,1.79,2.84
Miscellaneous Education,23973,53977.38,561,361,1.51,2.34
General Engineering,35952,98159.28,916,884,2.46,2.55
Aerospace Engineering,7458,108617.11,83,158,2.12,1.11
Biological Engineering,3445,82331.78,104,93,2.7,3.02
Architectural Engineering,1360,89836.8,22,42,3.09,1.62
Biomedical Engineering,3203,95327.58,58,115,3.59,1.81
Chemical Engineering,21123,114484.74,336,574,2.72,1.59
